time,Open,High,Low,Close,Volume
2021-07-04,0.0009926923,0.0009945985,0.0009647821,0.0009647821,895870.8600000000
2021-07-05,0.0009649671,0.0009649671,0.0009646563,0.0009646563,1168349.2300000000
2021-07-06,0.0009642834,0.0010059076,0.0009642834,0.0010059076,1353754.7900000000
2021-07-07,0.0010056564,0.0010867389,0.0010056564,0.0010597727,1355883.8700000001
2021-07-08,0.0010606797,0.0010666203,0.0010042726,0.0010042726,1702731.6899999999
2021-07-09,0.0010032729,0.0010221095,0.0009905305,0.0009954470,867011.1600000000
2021-07-10,0.0009955303,0.0009979265,0.0009340140,0.0009491658,864822.2200000000
2021-07-11,0.0009489517,0.0009547250,0.0009489517,0.0009494844,464786.0700000000
2021-07-12,0.0009498243,0.0009498243,0.0009183696,0.0009374931,680194.1700000000
2021-07-13,0.0009386141,0.0009386141,0.0008944630,0.0009016072,680800.4900000000
2021-07-14,0.0009019210,0.0009578743,0.0008680141,0.0009578743,1174428.5800000001
2021-07-15,0.0009578892,0.0009578892,0.0008993762,0.0009052147,1110600.2400000000
2021-07-16,0.0009053726,0.0009127671,0.0008225232,0.0008225232,999549.0100000000
2021-07-17,0.0008235110,0.0008690418,0.0008235110,0.0008396970,762997.3800000000
2021-07-18,0.0008393618,0.0008550913,0.0008393618,0.0008425446,423806.1700000000
2021-07-19,0.0008433090,0.0008433090,0.0007898026,0.0007972964,1155888.4600000000
2021-07-20,0.0007967918,0.0008040267,0.0007550418,0.0007875094,1753645.9299999999
2021-07-21,0.0007875094,0.0008414152,0.0007743385,0.0008414152,2398074.6600000001
2021-07-22,0.0008417929,0.0008641566,0.0008233326,0.0008553776,2278680.4500000002
2021-07-23,0.0008555664,0.0008833972,0.0008253125,0.0008833972,2168197.0000000000
2021-07-24,0.0008835447,0.0008835447,0.0008455348,0.0008455348,1874624.2300000000
2021-07-25,0.0008463811,0.0008463811,0.0007883223,0.0008199773,1491435.7500000000
2021-07-26,0.0008199773,0.0008199773,0.0007169233,0.0007169233,3272152.3100000001
2021-07-27,0.0007177223,0.0007438763,0.0007177223,0.0007438763,1686662.2600000000
2021-07-28,0.0007441251,0.0007441251,0.0006899127,0.0006899127,1427384.0600000001
2021-07-29,0.0006905508,0.0007879242,0.0006905508,0.0007879242,1756452.4600000000
2021-07-30,0.0007883655,0.0008183073,0.0007826488,0.0008115085,2473189.3700000001
2021-07-31,0.0008113257,0.0008888317,0.0007979567,0.0008888317,2269753.4300000002
