Date,Open,High,Low,Close,Volume
2023-06-06,1961.56,1966.4,1954.39,1963.23,108610
2023-06-07,1963.51,1970.18,1939.77,1939.87,116106
2023-06-08,1940.31,1970.5,1940.12,1965.44,120507
2023-06-09,1965.68,1973.1,1956.64,1960.46,102226
2023-06-12,1960.21,1966.97,1949.2,1957.34,117727
2023-06-13,1957.0,1971.13,1940.05,1943.44,127070
2023-06-14,1943.21,1960.27,1939.61,1941.74,124459
2023-06-15,1942.55,1960.26,1924.7,1957.96,143246
2023-06-16,1957.12,1967.93,1953.28,1957.51,121322
2023-06-19,1957.62,1958.76,1947.78,1950.48,64873
2023-06-20,1950.6,1956.79,1929.78,1936.08,125331
2023-06-21,1935.44,1939.45,1919.19,1932.43,117530
2023-06-22,1931.67,1934.82,1912.18,1913.64,112259
2023-06-23,1913.66,1937.47,1909.99,1920.53,117890
2023-06-26,1925.15,1933.36,1921.56,1923.14,124470
2023-06-27,1923.39,1930.69,1910.86,1913.62,145343
2023-06-28,1914.38,1917.14,1902.79,1907.28,132146
2023-06-29,1907.49,1913.13,1892.95,1908.25,158035
2023-06-30,1908.54,1922.8,1900.56,1919.17,152073
2023-07-03,1918.6,1930.98,1909.97,1921.48,117342
2023-07-04,1921.28,1930.75,1919.74,1925.89,59937
2023-07-05,1925.84,1935.05,1914.74,1915.21,137542
2023-07-06,1916.2,1927.59,1902.59,1910.93,154947
2023-07-07,1910.59,1934.97,1909.45,1925.31,155209
2023-07-10,1924.76,1928.06,1912.69,1925.28,130186
2023-07-11,1925.14,1938.47,1924.35,1932.09,140599
2023-07-12,1932.32,1959.7,1932.14,1957.35,169381
2023-07-13,1957.14,1963.65,1952.38,1960.39,174561
2023-07-14,1960.2,1963.78,1950.93,1955.45,155997
2023-07-17,1955.47,1959.85,1945.77,1954.92,122773
2023-07-18,1954.69,1984.36,1954.53,1978.73,167005
2023-07-19,1978.93,1980.93,1969.69,1976.97,139338
2023-07-20,1977.33,1987.43,1965.36,1969.5,150787
2023-07-21,1970.2,1973.8,1956.81,1961.84,131317
2023-07-24,1962.41,1967.88,1953.47,1954.87,128955
2023-07-25,1955.2,1965.69,1951.74,1964.85,115002
2023-07-26,1964.93,1978.32,1962.0,1972.27,151452
2023-07-27,1971.43,1982.23,1942.57,1945.52,171566
2023-07-28,1946.81,1963.56,1945.35,1959.15,161272
2023-07-31,1959.58,1972.39,1950.87,1965.52,124338
2023-08-01,1965.68,1965.98,1941.26,1944.19,137730
2023-08-02,1949.98,1954.84,1932.94,1934.87,138045
2023-08-03,1935.38,1938.88,1929.51,1933.98,143999
2023-08-04,1934.62,1946.95,1925.53,1942.65,131485
2023-08-07,1942.75,1946.72,1931.53,1936.52,84513
2023-08-08,1936.21,1938.06,1922.73,1925.22,117058
2023-08-09,1925.02,1932.34,1913.98,1914.7,104727
2023-08-10,1914.71,1930.14,1912.1,1912.33,138980
2023-08-11,1912.57,1920.95,1910.77,1913.62,106435
2023-08-14,1913.35,1916.24,1902.69,1907.42,110592
2023-08-15,1907.17,1911.65,1896.35,1901.85,149099
2023-08-16,1901.65,1907.22,1891.85,1891.92,115345
2023-08-17,1892.05,1903.49,1885.04,1889.33,132708
2023-08-18,1889.45,1896.91,1886.76,1889.37,109839
2023-08-21,1889.66,1898.78,1884.81,1894.67,124492
2023-08-22,1894.68,1904.53,1889.11,1897.38,111168
2023-08-23,1897.19,1920.38,1897.18,1915.38,130444
2023-08-24,1915.38,1923.4,1911.77,1916.69,123400
2023-08-25,1917.05,1922.45,1903.78,1914.21,132875
2023-08-28,1914.86,1926.07,1912.77,1920.06,88149
2023-08-29,1919.96,1938.2,1914.44,1937.32,126706
2023-08-30,1937.3,1949.07,1934.95,1942.42,120052
2023-08-31,1942.6,1947.91,1939.01,1940.06,92454
2023-09-01,1940.01,1953.02,1934.4,1939.85,138713
2023-09-04,1940.41,1946.28,1936.79,1938.47,44777
2023-09-05,1938.41,1938.99,1925.36,1925.97,112965
2023-09-06,1926.11,1929.19,1915.31,1916.42,117181
2023-09-07,1917.07,1923.58,1916.25,1919.62,98719
2023-09-08,1919.61,1929.7,1917.35,1919.13,98258
2023-09-11,1920.36,1930.77,1916.47,1922.33,101764
2023-09-12,1922.77,1924.48,1907.59,1913.34,103458
2023-09-13,1913.23,1915.77,1905.51,1908.15,127183
2023-09-14,1908.72,1912.91,1901.02,1910.51,148428
2023-09-15,1910.89,1930.43,1909.71,1923.68,122561
2023-09-18,1923.42,1934.23,1922.52,1933.61,98507
2023-09-19,1933.54,1937.41,1929.75,1931.34,87297
2023-09-20,1931.67,1947.42,1927.95,1930.36,136227
2023-09-21,1930.34,1931.6,1913.9,1919.94,143289
2023-09-22,1919.87,1929.12,1919.58,1925.25,96528
2023-09-25,1925.07,1927.22,1915.11,1915.78,87820
2023-09-26,1916.16,1916.81,1899.12,1900.58,98343
2023-09-27,1900.58,1903.92,1872.55,1874.99,115520
2023-09-28,1876.14,1879.58,1857.66,1864.8,147185
2023-09-29,1865.15,1879.88,1846.33,1848.74,147432
2023-10-02,1846.45,1848.93,1827.14,1827.77,154232
2023-10-03,1828.97,1833.38,1815.25,1822.94,192166
2023-10-04,1823.35,1830.79,1816.58,1821.1,181931
2023-10-05,1821.26,1829.2,1813.01,1820.24,163563
2023-10-06,1820.41,1834.9,1810.47,1831.84,200926
2023-10-09,1847.52,1863.49,1844.23,1861.35,155242
2023-10-10,1861.18,1865.37,1853.0,1860.42,204264
2023-10-11,1859.96,1877.2,1858.61,1874.27,193115
2023-10-12,1874.63,1885.12,1867.91,1868.73,190851
2023-10-13,1869.07,1932.41,1868.94,1932.41,213189
2023-10-16,1925.94,1927.68,1908.2,1920.06,158254
2023-10-17,1919.98,1931.57,1912.41,1923.05,161186
2023-10-18,1923.91,1962.67,1923.28,1947.62,189497
2023-10-19,1947.76,1977.73,1945.25,1974.28,207173
2023-10-20,1973.4,1997.21,1972.04,1980.9,198269
2023-10-23,1968.07,1982.81,1964.38,1972.74,173905
2023-10-24,1973.1,1980.87,1953.49,1971.03,169310
2023-10-25,1970.88,1987.28,1962.96,1979.45,162589
2023-10-26,1980.76,1993.44,1971.63,1984.73,190268
2023-10-27,1984.49,2009.47,1976.78,2005.91,179975
2023-10-30,2004.9,2006.74,1990.96,1996.15,161808
2023-10-31,1995.67,2007.93,1978.88,1983.97,176258
2023-11-01,1983.46,1992.03,1969.88,1982.67,184940
2023-11-02,1983.42,1991.08,1978.84,1985.77,153635
2023-11-03,1985.89,2004.11,1983.17,1992.52,188442
2023-11-06,1992.43,1993.16,1977.42,1977.82,141325
2023-11-07,1977.93,1978.34,1956.71,1969.03,160213
2023-11-08,1968.67,1971.04,1947.44,1950.2,153457
2023-11-09,1949.95,1965.64,1944.51,1958.41,174088
2023-11-10,1958.42,1960.81,1933.06,1938.62,159481
2023-11-13,1938.42,1949.22,1931.6,1946.1,127010
2023-11-14,1946.1,1970.87,1943.76,1963.16,138881
2023-11-15,1962.79,1975.34,1955.37,1959.19,142869
2023-11-16,1960.04,1987.91,1956.41,1981.1,132847
2023-11-17,1980.89,1993.36,1978.53,1980.56,132680
2023-11-20,1978.11,1985.15,1965.4,1977.65,148166
2023-11-21,1977.92,2007.53,1977.8,1998.26,164705
2023-11-22,1998.61,2006.43,1986.86,1989.81,144702
2023-11-23,1989.2,1998.52,1989.18,1992.78,39966
2023-11-24,1992.95,2003.58,1991.45,2002.33,54053
2023-11-27,2002.12,2018.12,2000.38,2014.18,79287
2023-11-28,2013.84,2042.98,2011.49,2041.07,76325
2023-11-29,2041.36,2051.99,2035.42,2044.12,91534
2023-11-30,2044.56,2047.25,2031.01,2036.09,85621
2023-12-01,2036.83,2075.36,2033.91,2071.63,65040
2023-12-04,2072.6,2144.77,2020.13,2028.89,85241
2023-12-05,2030.21,2041.17,2009.8,2019.36,74914
