Date,Open,High,Low,Close,Volume
2023-06-06 06:00:00,1960.96,1961.05,1959.04,1959.22,2569
2023-06-06 07:00:00,1959.25,1961.28,1959.07,1961.24,3064
2023-06-06 08:00:00,1961.24,1962.82,1957.88,1957.88,3776
2023-06-06 09:00:00,1957.88,1961.55,1957.73,1959.32,5965
2023-06-06 10:00:00,1959.34,1960.93,1956.84,1957.57,7197
2023-06-06 11:00:00,1957.54,1961.44,1957.26,1960.27,6210
2023-06-06 12:00:00,1960.29,1963.48,1960.18,1962.41,4528
2023-06-06 13:00:00,1962.37,1964.98,1962.0,1963.47,4030
2023-06-06 14:00:00,1963.47,1964.92,1962.81,1962.81,4032
2023-06-06 15:00:00,1962.81,1966.38,1959.87,1961.87,7799
2023-06-06 16:00:00,1961.87,1964.75,1954.39,1957.25,10276
2023-06-06 17:00:00,1957.27,1962.53,1956.65,1960.08,10148
2023-06-06 18:00:00,1960.1,1964.36,1958.6,1963.5,7350
2023-06-06 19:00:00,1963.5,1966.4,1961.07,1963.63,6164
2023-06-06 20:00:00,1963.63,1966.1,1963.0,1964.51,4605
2023-06-06 21:00:00,1964.51,1965.15,1963.06,1963.26,2813
2023-06-06 22:00:00,1963.26,1963.52,1962.32,1962.95,2954
2023-06-06 23:00:00,1962.88,1963.48,1962.46,1963.23,1143
2023-06-07 01:00:00,1963.51,1964.52,1963.03,1963.7,912
2023-06-07 02:00:00,1963.71,1964.26,1962.68,1963.35,1135
2023-06-07 03:00:00,1963.31,1965.11,1963.18,1964.85,2258
2023-06-07 04:00:00,1964.85,1966.68,1964.25,1964.86,4953
2023-06-07 05:00:00,1964.86,1965.52,1963.07,1964.56,3647
2023-06-07 06:00:00,1964.56,1964.62,1962.96,1963.38,2607
2023-06-07 07:00:00,1963.4,1964.57,1963.22,1964.55,1557
2023-06-07 08:00:00,1964.53,1965.08,1962.75,1963.15,3146
2023-06-07 09:00:00,1963.15,1964.09,1957.11,1957.61,5275
2023-06-07 10:00:00,1957.51,1957.93,1954.91,1956.16,5100
2023-06-07 11:00:00,1956.15,1961.69,1955.72,1961.62,4321
2023-06-07 12:00:00,1961.62,1964.58,1961.41,1964.48,4049
2023-06-07 13:00:00,1964.48,1966.38,1962.33,1962.66,3784
2023-06-07 14:00:00,1962.68,1965.23,1960.9,1961.33,4452
2023-06-07 15:00:00,1961.29,1961.36,1957.19,1958.57,7041
2023-06-07 16:00:00,1958.49,1970.18,1958.05,1969.51,10514
2023-06-07 17:00:00,1969.51,1969.75,1956.57,1957.76,16127
2023-06-07 18:00:00,1957.73,1958.72,1946.41,1947.18,10735
2023-06-07 19:00:00,1947.18,1947.72,1940.87,1942.23,8062
2023-06-07 20:00:00,1942.24,1946.57,1940.88,1944.52,6393
2023-06-07 21:00:00,1944.54,1944.87,1941.97,1942.75,4529
2023-06-07 22:00:00,1942.74,1943.19,1940.06,1940.17,4058
2023-06-07 23:00:00,1940.17,1941.61,1939.77,1939.87,1451
2023-06-08 01:00:00,1940.31,1943.45,1940.12,1942.26,1468
2023-06-08 02:00:00,1942.28,1945.28,1941.65,1944.45,1703
2023-06-08 03:00:00,1944.48,1946.3,1944.25,1946.2,2617
2023-06-08 04:00:00,1946.2,1946.71,1944.49,1945.86,4824
2023-06-08 05:00:00,1945.82,1947.06,1944.46,1946.28,3526
2023-06-08 06:00:00,1946.26,1947.17,1945.8,1946.28,2732
2023-06-08 07:00:00,1946.32,1947.34,1945.72,1946.58,2381
2023-06-08 08:00:00,1946.58,1947.79,1945.65,1945.94,3643
2023-06-08 09:00:00,1945.94,1947.27,1942.77,1944.81,5848
2023-06-08 10:00:00,1944.73,1948.3,1944.32,1947.3,5116
2023-06-08 11:00:00,1947.3,1949.13,1946.71,1948.32,5069
2023-06-08 12:00:00,1948.32,1948.7,1945.73,1946.45,3702
2023-06-08 13:00:00,1946.56,1947.94,1945.83,1946.67,3347
2023-06-08 14:00:00,1946.69,1947.88,1944.94,1946.66,4289
2023-06-08 15:00:00,1946.66,1960.06,1946.24,1959.37,12423
2023-06-08 16:00:00,1959.34,1968.53,1957.14,1966.56,15564
