Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-361,3460,3473,2063.31,2032.1742142857145,2066.745535714286,2032.1742142857145,10944.324682585628,295.69396027142864,0.01469323023269813,2024-01-05 17:00:00,2024-01-08 07:00:00,2 days 14:00:00,ob
211,3508,3520,2031.12,2024.7505357142857,2024.7505357142857,2063.5902142857144,-1515.1147008928453,171.15773660714285,-0.003535309776309217,2024-01-09 19:00:00,2024-01-10 08:00:00,0 days 13:00:00,sweep
176,3522,3531,2030.84,2023.2816071428572,2023.2816071428572,2063.710642857143,-1472.98222342855,142.7050805714286,-0.004121061816081636,2024-01-10 10:00:00,2024-01-10 19:00:00,0 days 09:00:00,sweep
-210,3672,3681,2024.39,2029.8810714285714,2029.8810714285714,2002.0004285714285,-1323.4043849999796,170.27938500000002,-0.003112999789001612,2024-01-19 01:00:00,2024-01-19 10:00:00,0 days 09:00:00,ob
365,3701,3703,2022.96,2019.3807142857142,2019.3807142857142,2058.1922857142854,-1601.5301578571698,295.09087214285717,-0.0021689770717873385,2024-01-22 07:00:00,2024-01-22 09:00:00,0 days 02:00:00,ob
338,3756,3757,2025.7,2021.8844642857143,2021.8844642857143,2039.1777857142856,-1563.267781214286,273.6167097857143,-0.002283187346173135,2024-01-24 16:00:00,2024-01-24 17:00:00,0 days 01:00:00,ob
-203,3818,3823,2031.31,2028.02,2037.5808928571428,2011.380357142857,503.0612019999926,164.80879800000002,0.00121996839477976,2024-01-29 09:00:00,2024-01-29 14:00:00,0 days 05:00:00,ob
256,3850,3871,2032.71,2048.1304285714286,2027.6860714285715,2048.1304285714286,3738.6906843428646,208.93902994285716,0.007184625689702086,2024-01-30 18:00:00,2024-01-31 16:00:00,0 days 22:00:00,sweep
371,3890,3891,2035.86,2031.97,,2055.5762142857143,-1745.0229859999527,301.832986,-0.0023103582761093075,2024-02-01 12:00:00,2024-02-01 13:00:00,0 days 01:00:00,ob
125,3894,3896,2039.93,2055.609642857143,2029.569107142857,2055.609642857143,1857.5668660714598,102.38849107142859,0.007284825914895068,2024-02-01 16:00:00,2024-02-01 18:00:00,0 days 02:00:00,sweep
116,3916,3917,2041.28,2029.9710714285713,2029.9710714285713,2065.1924285714285,-1406.2887391428633,94.45302485714286,-0.005939008262322816,2024-02-02 15:00:00,2024-02-02 16:00:00,0 days 01:00:00,ob
194,3920,3931,2036.18,2029.4667857142856,2029.4667857142856,2065.014714285714,-1460.110666714319,157.7470952857143,-0.003696305652180688,2024-02-02 19:00:00,2024-02-05 07:00:00,2 days 12:00:00,ob
-375,3957,3962,2026.27,2029.6992857142857,2029.6992857142857,2015.0437142857143,-1590.179839285708,304.1976964285715,-0.0020927514948297795,2024-02-06 10:00:00,2024-02-06 15:00:00,0 days 05:00:00,sweep
-471,3963,3963,2029.12,2031.835,2031.835,2015.094,-1661.3069610000684,382.541961,-0.0017382860550387803,2024-02-06 16:00:00,2024-02-06 16:00:00,0 days 00:00:00,sweep
-597,4031,4055,2036.25,2014.9792857142857,2038.3582142857142,2014.9792857142857,12214.89965185718,483.71677671428574,0.010048112181005013,2024-02-09 15:00:00,2024-02-12 16:00:00,3 days 01:00:00,ob
-491,4077,4078,2030.86,2004.45,2033.670892857143,2011.9543571428571,12571.042557999928,396.26744199999996,0.012606943856297242,2024-02-13 15:00:00,2024-02-13 16:00:00,0 days 01:00:00,ob
726,4215,4217,2024.29,2022.2157142857143,2022.2157142857143,2032.0322857142858,-2093.4840582856887,587.5526297142858,-0.001424492961553349,2024-02-21 17:00:00,2024-02-21 19:00:00,0 days 02:00:00,ob
413,4237,4237,2025.74,2022.1094642857142,2022.1094642857142,2034.5637857142856,-1833.763615750023,334.35236575,-0.0021918437741975643,2024-02-22 16:00:00,2024-02-22 16:00:00,0 days 00:00:00,sweep
445,4252,4257,2018.14,2022.89,2014.8482142857144,2034.5232857142855,1754.09833,359.65167,0.0019531816425024267,2024-02-23 08:00:00,2024-02-23 13:00:00,0 days 05:00:00,ob
-309,4260,4261,2025.31,2030.2080357142856,2030.2080357142856,2013.5292142857143,-1764.1240503214233,250.63101460714287,-0.002818896525187979,2024-02-23 16:00:00,2024-02-23 17:00:00,0 days 01:00:00,sweep
-314,4262,4263,2031.21,2038.32,,2013.5564285714286,-2488.1064839999685,255.566484,-0.003901076698125787,2024-02-23 18:00:00,2024-02-23 19:00:00,0 days 01:00:00,ob
-209,4330,4351,2031.83,2038.748392857143,2038.748392857143,2016.2433571428571,-1616.0942839643344,170.15017682142857,-0.003805686763023679,2024-02-28 17:00:00,2024-02-29 15:00:00,0 days 22:00:00,sweep
234,4467,4475,2149.07,2161.1202142857146,2142.9755357142853,2161.1202142857146,2618.033240828609,201.71690202857144,0.005206054825043995,2024-03-07 16:00:00,2024-03-08 01:00:00,0 days 09:00:00,ob
344,4535,4536,2169.35,2165.1264285714287,2165.1264285714287,2194.894571428571,-1751.1205497141991,298.2119782857143,-0.0023465400761912185,2024-03-12 14:00:00,2024-03-12 15:00:00,0 days 01:00:00,ob
423,4537,4538,2158.43,2162.0,2155.036964285714,2194.6787857142854,1144.6016220000693,365.508378,0.0012536491801913108,2024-03-12 16:00:00,2024-03-12 17:00:00,0 days 01:00:00,ob
