Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-403,1344,1350,1915.98,1918.3473214285714,1918.3473214285714,1911.1853571428574,-1263.0773178214004,309.0467821071429,-0.0016358139922426074,2023-08-28 10:00:00,2023-08-28 16:00:00,0 days 06:00:00,sweep
674,1390,1394,1936.16,1938.9803571428572,1934.7498214285715,1938.9803571428572,1378.5517941428413,522.3689201428572,0.0010563843233145156,2023-08-30 10:00:00,2023-08-30 14:00:00,0 days 04:00:00,sweep
457,1443,1446,1936.92,1941.1410714285716,1934.8094642857143,1941.1410714285716,1574.574860928639,354.4547819285715,0.001778834032528884,2023-09-01 17:00:00,2023-09-01 20:00:00,0 days 03:00:00,ob
-595,1459,1461,1945.1,1941.8064285714286,1946.7467857142856,1941.8064285714286,1497.1331349999473,462.54186500000003,0.0012936045153756376,2023-09-04 10:00:00,2023-09-04 12:00:00,0 days 02:00:00,sweep
-116,1530,1544,1921.17,1925.89,1929.6971428571428,1904.1157142857146,-636.7717920000032,89.25179200000001,-0.002857327566014436,2023-09-07 14:00:00,2023-09-08 05:00:00,0 days 15:00:00,ob
405,1554,1555,1920.64,1925.521785714286,1918.1991071428572,1925.521785714286,1665.5841096428908,311.5391046428572,0.0021412411264698232,2023-09-08 15:00:00,2023-09-08 16:00:00,0 days 01:00:00,ob
-440,1739,1739,1932.2,1934.4919642857142,1934.4919642857142,1927.6460714285718,-1348.73317857136,340.2688928571429,-0.0015864313624735726,2023-09-20 16:00:00,2023-09-20 16:00:00,0 days 00:00:00,sweep
-824,1779,1779,1925.54,1926.5139285714286,1926.5139285714286,1923.5621428571428,-1437.3356302857271,634.8184874285714,-0.0009058961938691167,2023-09-22 10:00:00,2023-09-22 10:00:00,0 days 00:00:00,sweep
-393,1781,1800,1926.95,1921.9835714285716,1929.4332142857143,1921.9835714285716,1649.2802498570845,302.5261787142857,0.0021778675404877166,2023-09-22 12:00:00,2023-09-25 08:00:00,2 days 20:00:00,ob
-236,1803,1818,1923.49,1915.0725,1927.69875,1915.0725,1805.3498500000042,181.18015000000003,0.003977035232832019,2023-09-25 11:00:00,2023-09-26 03:00:00,0 days 16:00:00,sweep
-339,1900,1901,1874.59,1868.6217857142858,1877.574107142857,1868.6217857142858,1769.4348837856553,253.7897590714286,0.002784380546450801,2023-09-29 16:00:00,2023-09-29 17:00:00,0 days 01:00:00,ob
-295,2016,2017,1831.03,1834.5158928571427,1834.5158928571427,1824.0582142857145,-1244.6056005356809,216.26720767857142,-0.0023041687114433687,2023-10-06 17:00:00,2023-10-06 18:00:00,0 days 01:00:00,ob
-274,2294,2314,1975.71,1979.4241071428573,1979.4241071428573,1968.2817857142854,-1234.4067062143292,216.7413490714286,-0.002280260748938705,2023-10-24 19:00:00,2023-10-25 16:00:00,0 days 21:00:00,ob
278,2338,2339,1971.97,1979.55,1968.36625,1979.1775,1887.5354879999798,219.70451200000002,0.0034431030898036162,2023-10-26 17:00:00,2023-10-26 18:00:00,0 days 01:00:00,ob
360,2357,2358,1984.92,1980.66,,1990.6100000000006,-1819.1217599999968,285.52176000000003,-0.002545752977449955,2023-10-27 13:00:00,2023-10-27 14:00:00,0 days 01:00:00,ob
139,2361,2365,1983.02,1997.3860714285713,1975.8219642857143,1997.3860714285713,1886.2286397857008,110.65528878571428,0.006843092966427874,2023-10-27 17:00:00,2023-10-27 21:00:00,0 days 04:00:00,sweep
166,2410,2412,1983.45,1984.6,1977.2776785714284,1995.7946428571433,59.16073999997735,131.73926,0.00017968186745315407,2023-10-31 19:00:00,2023-10-31 21:00:00,0 days 02:00:00,ob
-98,2474,2477,1994.58,1994.49,2004.9873214285715,1973.7653571428568,-69.36577200000804,78.18577200000001,-0.00035486869416118664,2023-11-03 14:00:00,2023-11-03 17:00:00,0 days 03:00:00,ob
169,2483,2487,1989.23,1983.1707142857142,1983.1707142857142,2001.3485714285716,-1158.2864298571585,134.26714414285715,-0.003445436604687714,2023-11-06 01:00:00,2023-11-06 05:00:00,0 days 04:00:00,ob
290,2493,2499,1985.74,1982.249642857143,1982.249642857143,1992.720714285714,-1242.346970714234,230.14339928571428,-0.0021573595090134423,2023-11-06 11:00:00,2023-11-06 17:00:00,0 days 06:00:00,ob
225,2501,2504,1983.5,1979.0589285714286,1979.0589285714286,1992.3521428571428,-1177.556223214274,178.3151517857143,-0.0026385597248730136,2023-11-06 19:00:00,2023-11-06 22:00:00,0 days 03:00:00,sweep
-270,2635,2636,1957.67,1961.32375,1961.32375,1950.3625000000002,-1198.1381624999854,211.62566250000003,-0.002266750141750193,2023-11-14 15:00:00,2023-11-14 16:00:00,0 days 01:00:00,ob
357,2704,2705,1984.67,1981.9391071428572,1981.9391071428572,1990.1317857142858,-1258.1446402500019,283.21589025000003,-0.001775718219437711,2023-11-17 15:00:00,2023-11-17 16:00:00,0 days 01:00:00,ob
213,2727,2729,1965.61,1970.11,1961.1001785714286,1974.6296428571425,790.838328,167.661672,0.0018889077690896006,2023-11-20 15:00:00,2023-11-20 17:00:00,0 days 02:00:00,ob
-332,2791,2799,1996.31,1990.515714285714,1999.2821428571428,1990.515714285714,1658.9776297143585,264.72522742857143,0.0025030784654832164,2023-11-23 10:00:00,2023-11-23 18:00:00,0 days 08:00:00,sweep
